The xmax, ymax, zmax are: 32 42 37
12.594267 13 1 1
12.265500 14 1 1
12.066738 15 1 1
12.000000 16 1 1
12.066738 17 1 1
12.265500 18 1 1
12.594267 19 1 1
12.463261 10 2 1
11.732286 11 2 1
11.120519 12 2 1
10.635798 13 2 1
10.284441 14 2 1
10.071458 15 2 1
10.000000 16 2 1
10.071458 17 2 1
10.284441 18 2 1
10.635798 19 2 1
11.120519 20 2 1
11.732286 21 2 1
12.463261 22 2 1
12.528710 8 3 1
11.529782 9 3 1
10.635673 10 3 1
9.856969 11 3 1
9.203196 12 3 1
8.683338 13 3 1
8.305991 14 3 1
8.076864 15 3 1
8.000000 16 3 1
8.076864 17 3 1
8.305991 18 3 1
8.683338 19 3 1
9.203196 20 3 1
9.856969 21 3 1
10.635673 22 3 1
11.529782 23 3 1
12.528710 24 3 1
12.000154 7 4 1
10.844574 8 4 1
9.784890 9 4 1
8.832863 10 4 1
8.000032 11 4 1
7.298275 12 4 1
6.738634 13 4 1
6.331160 14 4 1
6.083265 15 4 1
6.000000 16 4 1
6.083265 17 4 1
6.331160 18 4 1
6.738634 19 4 1
7.298275 20 4 1
8.000032 21 4 1
8.832863 22 4 1
9.784890 23 4 1
10.844574 24 4 1
12.000154 25 4 1
11.732302 6 5 1
10.425359 7 5 1
9.202947 8 5 1
8.076854 9 5 1
7.060211 10 5 1
6.166106 11 5 1
5.409771 12 5 1
4.803746 13 5 1
4.360937 14 5 1
4.091075 15 5 1
4.000000 16 5 1
4.091075 17 5 1
4.360937 18 5 1
4.803746 19 5 1
5.409771 20 5 1
6.166106 21 5 1
7.060211 22 5 1
8.076854 23 5 1
9.202947 24 5 1
10.425359 25 5 1
11.732302 26 5 1
11.732302 5 6 1
10.284271 6 6 1
8.907394 7 6 1
7.612677 8 6 1
6.413165 9 6 1
5.323808 10 6 1
4.360759 11 6 1
3.541079 12 6 1
2.880998 13 6 1
2.396603 14 6 1
2.099815 15 6 1
2.000000 16 6 1
2.099815 17 6 1
2.396603 18 6 1
2.880998 19 6 1
3.541079 20 6 1
4.360759 21 6 1
5.323808 22 6 1
6.413165 23 6 1
7.612677 24 6 1
8.907394 25 6 1
10.284271 26 6 1
11.732302 27 6 1
12.000154 4 7 1
10.425359 5 7 1
8.907394 6 7 1
7.455844 7 7 1
6.083363 8 7 1
4.803582 9 7 1
3.633675 10 7 1
2.591502 11 7 1
1.698505 12 7 1
0.973966 13 7 1
0.439672 14 7 1
0.119210 15 7 1
0.000000 16 7 1
0.119210 17 7 1
0.439672 18 7 1
0.973966 19 7 1
1.698505 20 7 1
2.591502 21 7 1
3.633675 22 7 1
4.803582 23 7 1
6.083363 24 7 1
7.455844 25 7 1
8.907394 26 7 1
10.425359 27 7 1
12.000154 28 7 1
12.528710 3 8 1
10.844574 4 8 1
9.202947 5 8 1
7.612677 6 8 1
6.083363 7 8 1
4.627417 8 8 1
3.260672 9 8 1
2.000616 10 8 1
0.868034 11 8 1
0.113901 12 8 1
0.113901 20 8 1
0.868034 21 8 1
2.000616 22 8 1
3.260672 23 8 1
4.627417 24 8 1
6.083363 25 8 1
7.612677 26 8 1
9.202947 27 8 1
10.844574 28 8 1
12.528710 29 8 1
11.529782 3 9 1
9.784890 4 9 1
8.076854 5 9 1
6.413165 6 9 1
4.803582 7 9 1
3.260672 8 9 1
1.798990 9 9 1
0.439802 10 9 1
0.439802 22 9 1
1.798990 23 9 1
3.260672 24 9 1
4.803582 25 9 1
6.413165 26 9 1
8.076854 27 9 1
9.784890 28 9 1
11.529782 29 9 1
12.463261 2 10 1
10.635673 3 10 1
8.832863 4 10 1
7.060211 5 10 1
5.323808 6 10 1
3.633675 7 10 1
2.000616 8 10 1
0.439802 9 10 1
0.439802 23 10 1
2.000616 24 10 1
3.633675 25 10 1
5.323808 26 10 1
7.060211 27 10 1
8.832863 28 10 1
10.635673 29 10 1
12.463261 30 10 1
11.732286 2 11 1
9.856969 3 11 1
8.000032 4 11 1
6.166106 5 11 1
4.360759 6 11 1
2.591502 7 11 1
0.868034 8 11 1
0.868034 24 11 1
2.591502 25 11 1
4.360759 26 11 1
6.166106 27 11 1
8.000032 28 11 1
9.856969 29 11 1
11.732286 30 11 1
11.120519 2 12 1
9.203196 3 12 1
7.298275 4 12 1
5.409771 5 12 1
3.541079 6 12 1
1.698505 7 12 1
0.113901 8 12 1
0.113901 24 12 1
1.698505 25 12 1
3.541079 26 12 1
5.409771 27 12 1
7.298275 28 12 1
9.203196 29 12 1
11.120519 30 12 1
12.594267 1 13 1
10.635798 2 13 1
8.683338 3 13 1
6.738634 4 13 1
4.803746 5 13 1
2.880998 6 13 1
0.973966 7 13 1
0.973966 25 13 1
2.880998 26 13 1
4.803746 27 13 1
6.738634 28 13 1
8.683338 29 13 1
10.635798 30 13 1
12.594267 31 13 1
12.265500 1 14 1
10.284441 2 14 1
8.305991 3 14 1
6.331160 4 14 1
4.360937 5 14 1
2.396603 6 14 1
0.439672 7 14 1
0.439672 25 14 1
2.396603 26 14 1
4.360937 27 14 1
6.331160 28 14 1
8.305991 29 14 1
10.284441 30 14 1
12.265500 31 14 1
12.066738 1 15 1
10.071458 2 15 1
8.076864 3 15 1
6.083265 4 15 1
4.091075 5 15 1
2.099815 6 15 1
0.119210 7 15 1
0.119210 25 15 1
2.099815 26 15 1
4.091075 27 15 1
6.083265 28 15 1
8.076864 29 15 1
10.071458 30 15 1
12.066738 31 15 1
12.000000 1 16 1
10.000000 2 16 1
8.000000 3 16 1
6.000000 4 16 1
4.000000 5 16 1
